distance,force_median,L2012_lambda,L2012_f0,L2012_delta,L2012_L,CR2020_density,CR2020_ssa
322.5,0.7947198417969048,15.145630571209546,0.30211241290160257,0.4117649941541729,1.0903874481803648,343.0225561035755,-0.195111959
323,0.620959063,33.656138281891565,0.18194910262462083,0.19113978722309619,0.8355809603836173,321.33626671882365,5.647850173242801
323.5,0.27613147045485675,13.345621023310958,0.1568053619087039,0.3337767646945184,1.1373576000814798,328.82305068172076,2.8911596650585056
324,0.16769935644697398,21.770014925600464,0.14472616999729132,0.12373342085132155,0.9661777999848664,299.5937702619965,7.743833172146084
324.5,0.10775862261652946,133.17226160409047,0.020450519846376167,0.081807372,0.5282895721351707,226.49315311504213,20.56730803905584
325,0.1259428901830688,198.9278842746171,0.014187798468269796,0.092989973,0.4621448049927942,224.04989385672155,22.47928905863096
325.5,0.1468211233150214,203.52422326059838,0.017683267,0.086276653,0.4586392951814501,230.5173944629959,22.059214605517784
326,0.12257543322630227,108.30829864606419,0.027543971264692095,0.091646682,0.5659647533341505,237.13074770787443,18.817232599064468
326.5,0.10506465705111623,566.2929591120519,0.013685902960184154,0.028903789332103108,0.3260840647799146,196.21674249900553,29.614973550401405
327,0.11718750209547579,477.3245432888431,0.007011593,0.070930869,0.34520099706918644,204.458361,28.157910651172724
327.5,0.1400862094014883,96.47264275901054,0.020587242156346254,0.1497091048638809,0.5882228686325663,245.49712416968887,17.612572380644057
328,0.139412718,111.74562267555991,0.024257552230664895,0.11038556541168307,0.5601011401516941,241.5876630520953,18.539438077203567
328.5,0.11988146766088903,242.62037159231235,0.012011214928529194,0.087359401,0.4325479009469033,217.71737242154938,23.88821609233526
329,0.11179957096464932,174.3207571890478,0.012926167585100875,0.096806174,0.48294046446668465,221.62118664238545,22.098350823562726
329.5,0.088900864,220.94104074489482,0.00975978,0.081490099,0.4462564417095329,205.91941606864393,24.403403963169445
330,0.087553881,262.37823780845576,0.008961211,0.073409782,0.421405979,201.43476979215328,25.52271669421954
330.5,0.092941812,158.26541759944615,0.015002496248903598,0.083543073,0.4987481380141595,215.81605182204896,22.176699930225574
331,0.098329743,207.76777841606338,0.015785776,0.062445791,0.4554952978005993,211.89933816696313,23.654134198934095
331.5,0.095635778,207.9605877417047,0.016511382,0.056148095,0.45535448442519955,210.6166073497895,23.761545992561103
332,0.092941812,239.4760319619792,0.013712599,0.058554815145834466,0.4344328048325665,206.18587466591333,24.739092631056277
332.5,0.10237069148570299,373.51115740362536,0.013119264781537117,0.043717865101412325,0.3746066104772909,201.9545676,27.135377967591644
333,0.10775862261652946,407.10756877229267,0.012131550948023633,0.045248764,0.36400462724275506,202.9439547231495,27.48049945337369
333.5,0.11382004513870925,210.37228236769687,0.015576106486273604,0.072501003,0.4536077407370811,218.278199,23.195776950216203
334,0.10371767426840961,143.94364952997333,0.018643157,0.084180396,0.5147690887491928,222.91684142636268,21.188386774982966
334.5,0.09698276,287.7594446,0.011170390072390618,0.06352565,0.4086329985347309,204.34210080708624,25.719638990993317
335,0.11853448487818241,333.3788953388591,0.012173880098701975,0.059597673,0.3890725537999138,211.14000747553126,25.895581928017833
335.5,0.10910560539923608,368.9840177380839,0.012413591031640882,0.049812782,0.376132429,205.2892511643687,26.826734495971635
336,0.10910560539923608,451.54959527209974,0.011102124207222296,0.044475865,0.3516479939472267,201.7927033485176,28.07601973710525
336.5,0.09698276,163.0455191198458,0.018686266,0.065410406,0.4938256841253121,216.94168942724136,22.205021813425844
