distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
463.7500,0.3610,3625.8976,0.0044,0.0450,0.1756,307.8940,17.7008
465.0000,0.3570,2013.9518,0.0052,0.0682,0.2136,305.2630,16.4534
466.2500,0.3327,3034.7896,0.0038,0.0575,0.1863,300.8754,17.7491
467.5000,0.3219,3026.8069,0.0036,0.0597,0.1865,298.2395,17.9227
468.7500,0.3300,3160.8860,0.0034,0.0607,0.1838,300.3154,17.8874
470.0000,0.3273,4758.5998,0.0028,0.0487,0.1604,300.4701,18.8675
471.2500,0.3071,3464.5522,0.0039,0.0457,0.1783,294.6972,18.5084
472.5000,0.2802,3943.7472,0.0028,0.0509,0.1708,287.3918,19.3733
473.7500,0.2761,3584.0211,0.0028,0.0548,0.1763,286.1259,19.2206
475.0000,0.2883,2859.4684,0.0032,0.0632,0.1901,289.3456,18.3986
476.2500,0.2923,5567.9288,0.0024,0.0447,0.1522,291.2445,19.9450
477.5000,0.2909,4867.2601,0.0025,0.0472,0.1592,290.7141,19.6534
478.7500,0.2869,3928.2901,0.0031,0.0468,0.1710,289.3303,19.2178
480.0000,0.2883,5861.9203,0.0030,0.0328,0.1496,290.1246,20.1596
481.2500,0.2802,4982.9587,0.0034,0.0328,0.1579,287.5944,19.9539
482.5000,0.2573,2621.2792,0.0039,0.0498,0.1957,280.2820,18.8178
483.7500,0.2478,1172.9735,0.0044,0.0970,0.2558,277.2833,16.7921
485.0000,0.2613,2820.4176,0.0035,0.0536,0.1909,281.5443,18.9241
486.2500,0.2654,2575.4001,0.0035,0.0587,0.1968,282.7076,18.5947
487.5000,0.2586,1810.6991,0.0041,0.0694,0.2213,280.5362,17.7861
488.7500,0.2505,2280.2650,0.0034,0.0652,0.2050,278.1715,18.5879
490.0000,0.2600,2972.1802,0.0034,0.0519,0.1876,281.1566,19.0939
491.2500,0.2680,5766.4839,0.0024,0.0388,0.1504,283.9867,20.6110
492.5000,0.2627,4313.5171,0.0029,0.0427,0.1657,282.1539,20.0084
493.7500,0.2559,2514.5271,0.0036,0.0577,0.1984,279.8553,18.7353
495.0000,0.2586,2153.8284,0.0046,0.0535,0.2089,280.6123,18.2577
496.2500,0.2613,2702.0643,0.0035,0.0553,0.1937,281.5241,18.8098
497.5000,0.2721,2964.0335,0.0035,0.0525,0.1878,284.7888,18.8200
498.7500,0.2856,4873.6297,0.0027,0.0434,0.1591,289.1605,19.7763
500.0000,0.2842,4818.2215,0.0027,0.0441,0.1597,288.7565,19.7788
501.2500,0.2896,2636.9862,0.0039,0.0575,0.1953,289.6128,18.1688
502.5000,0.3058,3183.9067,0.0037,0.0528,0.1834,294.2072,18.3304
503.7500,0.3314,2134.6562,0.0054,0.0584,0.2095,299.7133,16.9498
505.0000,0.3408,2007.2940,0.0052,0.0651,0.2139,301.7045,16.6683
506.2500,0.3341,3070.2225,0.0041,0.0526,0.1856,301.2249,17.7539
507.5000,0.3354,2221.0618,0.0046,0.0650,0.2068,300.7512,16.9825
508.7500,0.3219,1301.5260,0.0054,0.0901,0.2471,296.2615,15.8978
510.0000,0.3031,2050.5041,0.0043,0.0694,0.2124,292.7631,17.2997
511.2500,0.2896,3316.6369,0.0033,0.0526,0.1809,289.8977,18.7426
512.5000,0.2829,2508.2878,0.0036,0.0629,0.1986,287.7025,18.1709
513.7500,0.2883,2645.6417,0.0040,0.0554,0.1951,289.2495,18.2028
515.0000,0.2869,3294.6762,0.0035,0.0500,0.1813,289.1373,18.7807
516.2500,0.2829,3035.6375,0.0034,0.0557,0.1863,287.9102,18.6569
517.5000,0.2842,2399.6171,0.0039,0.0621,0.2015,288.0232,18.0318
518.7500,0.2909,2322.4502,0.0046,0.0552,0.2037,289.8063,17.8233
520.0000,0.2936,2160.5523,0.0041,0.0673,0.2087,290.4165,17.5924
521.2500,0.2923,4778.0878,0.0028,0.0436,0.1602,291.0777,19.5795
522.5000,0.2950,3141.8444,0.0038,0.0501,0.1842,291.3099,18.5021
523.7500,0.3058,2175.1710,0.0051,0.0552,0.2082,293.5515,17.4006
525.0000,0.3287,3445.4006,0.0042,0.0456,0.1786,300.1704,18.1089
526.2500,0.3421,3211.2845,0.0043,0.0503,0.1829,303.2474,17.7260
527.5000,0.3435,3349.0563,0.0039,0.0533,0.1803,303.6659,17.7991
528.7500,0.3381,4430.8075,0.0032,0.0478,0.1643,303.0109,18.5142
530.0000,0.3246,4613.6690,0.0038,0.0373,0.1621,299.7279,18.8478
531.2500,0.3219,6742.4906,0.0026,0.0364,0.1428,299.6661,19.7467
532.5000,0.3260,6034.1449,0.0026,0.0416,0.1482,300.5447,19.4216
533.7500,0.3273,4047.8828,0.0032,0.0506,0.1693,300.1622,18.5014
535.0000,0.3300,2739.7427,0.0039,0.0620,0.1928,299.9955,17.5557
536.2500,0.3394,4019.3025,0.0034,0.0499,0.1697,303.1273,18.2742
537.5000,0.3475,7424.8731,0.0023,0.0412,0.1383,306.3705,19.4508
538.7500,0.3394,4701.8960,0.0034,0.0423,0.1610,303.4650,18.6217
540.0000,0.3327,1860.8991,0.0044,0.0814,0.2193,299.6667,16.6060
541.2500,0.3502,3622.7255,0.0036,0.0538,0.1757,305.4312,17.8666
542.5000,0.3610,8580.3683,0.0025,0.0336,0.1318,309.9329,19.4945
543.7500,0.3596,7046.1913,0.0027,0.0374,0.1407,309.1975,19.1223
545.0000,0.3408,3848.5009,0.0032,0.0550,0.1722,303.3539,18.1546
546.2500,0.3381,3169.8307,0.0038,0.0576,0.1837,302.2625,17.7614
547.5000,0.3327,1390.7320,0.0065,0.0729,0.2417,298.8475,15.9137
548.7500,0.3017,1161.6861,0.0054,0.0991,0.2566,291.3234,15.8958
550.0000,0.3071,4745.2175,0.0028,0.0466,0.1605,295.1752,19.2525
551.2500,0.3206,3821.0823,0.0031,0.0537,0.1726,298.3526,18.4903
552.5000,0.3206,3280.2931,0.0038,0.0511,0.1816,298.0632,18.1347
553.7500,0.3112,3926.9021,0.0029,0.0547,0.1710,295.9623,18.7293
555.0000,0.3044,3550.9704,0.0032,0.0541,0.1768,294.0224,18.6185
556.2500,0.2923,3096.9631,0.0036,0.0533,0.1851,290.5560,18.5190
557.5000,0.2667,2506.1086,0.0042,0.0508,0.1986,283.0880,18.4941
558.7500,0.2573,2966.1710,0.0031,0.0569,0.1878,280.3253,19.1501
560.0000,0.2748,3182.9980,0.0034,0.0515,0.1834,285.6335,18.9465
561.2500,0.2775,3541.5467,0.0030,0.0530,0.1770,286.5104,19.1610
562.5000,0.2721,1910.0417,0.0037,0.0770,0.2174,284.4253,17.6680
563.7500,0.2667,1654.4625,0.0040,0.0816,0.2281,282.7977,17.3864
565.0000,0.2680,3076.9735,0.0030,0.0582,0.1855,283.6203,19.0048
566.2500,0.2640,1903.6732,0.0041,0.0683,0.2177,282.1277,17.8150
567.5000,0.2478,3067.6598,0.0029,0.0570,0.1857,277.3507,19.4648
568.7500,0.2627,4059.0357,0.0034,0.0379,0.1691,282.1267,19.8508
570.0000,0.2896,3288.1669,0.0038,0.0463,0.1814,289.8874,18.7212
571.2500,0.2990,4472.8003,0.0033,0.0413,0.1637,292.8855,19.2785
572.5000,0.3085,4903.8952,0.0035,0.0360,0.1588,295.5866,19.3019
573.7500,0.3152,4163.7029,0.0031,0.0485,0.1677,297.1166,18.7895
575.0000,0.3112,3365.4889,0.0033,0.0556,0.1800,295.7049,18.3641
576.2500,0.3112,2264.6504,0.0040,0.0689,0.2054,294.9801,17.4096
577.5000,0.3138,1448.4430,0.0061,0.0720,0.2384,294.6732,16.2724
578.7500,0.3327,2141.7374,0.0052,0.0604,0.2093,300.0345,16.9374
580.0000,0.3408,5019.5716,0.0032,0.0428,0.1576,303.9308,18.7412
581.2500,0.3273,4257.3948,0.0041,0.0380,0.1665,300.2600,18.6162
582.5000,0.3071,2844.2805,0.0047,0.0466,0.1904,294.3707,18.0330
583.7500,0.3233,821.4180,0.0143,0.0580,0.2881,295.2061,14.7593
585.0000,0.4283,482.5201,0.0286,0.0634,0.3440,310.4629,12.6305
586.2500,0.5294,753.5645,0.0188,0.0755,0.2965,327.7499,12.8734
587.5000,0.6034,1424.2195,0.0145,0.0590,0.2398,342.6323,13.5643
588.7500,0.6317,1449.2868,0.0111,0.0787,0.2384,346.1546,13.4252
590.0000,0.6169,2110.8820,0.0091,0.0644,0.2103,347.5379,14.1378
591.2500,0.6075,3023.4375,0.0071,0.0568,0.1866,348.9531,14.7877
592.5000,0.6048,2796.1792,0.0069,0.0630,0.1915,348.0613,14.6808
593.7500,0.6277,2145.3088,0.0093,0.0639,0.2092,348.9995,14.0940
595.0000,0.6721,1656.1354,0.0110,0.0739,0.2280,351.9807,13.4127
596.2500,0.7099,1451.8609,0.0130,0.0761,0.2383,354.7530,13.0080
597.5000,0.7139,1715.1860,0.0122,0.0687,0.2254,356.8335,13.2437
598.7500,0.6964,2096.2369,0.0103,0.0646,0.2108,356.8056,13.6443
600.0000,0.6897,1851.6101,0.0105,0.0707,0.2197,354.9457,13.4908
601.2500,0.6923,1423.6959,0.0108,0.0899,0.2398,352.7188,13.0660
602.5000,0.7058,1977.4626,0.0095,0.0751,0.2149,357.3115,13.5033
603.7500,0.6991,2245.0474,0.0084,0.0742,0.2060,357.7057,13.7334
605.0000,0.7220,1638.2187,0.0122,0.0731,0.2289,357.2261,13.1325
606.2500,0.7759,1645.5766,0.0142,0.0671,0.2285,362.6533,12.8798
607.5000,0.9146,354.6628,0.0564,0.0944,0.3811,350.6680,10.2159
608.7500,1.2177,232.9945,0.0740,0.1451,0.4384,355.6754,9.1327
610.0000,1.4426,227.5556,0.0692,0.1892,0.4419,363.2991,8.8227
611.2500,1.4844,319.2473,0.0629,0.1522,0.3947,374.9673,9.1230
612.5000,1.6608,129.8308,0.1365,0.1966,0.5328,349.1573,8.0655
613.7500,2.2077,133.2280,0.2080,0.1667,0.5282,361.1661,7.7410
615.0000,2.2872,63.7434,0.2161,0.3471,0.6754,322.7717,7.1593
